Wine,Vintage,Unnamed: 2,Unit Size,Pack Type,Duty Status,No. Cases Net,Case Price,Total Price,Mkt,5% Discount,10% Discount,15% Discount,Unnamed: 13,Unnamed: 14,Rot. No.,SKU,Location,Warehouse location,Status,Region,Mkt Price,Total Cost,Total Value,Absolute Return (£),% Return,Purchase Date,CAGR (%)
"Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2018,1,75cl,,IB,2,450.0,900.0,£395.00,£375.25,£355.50,£335.75,,,22/0000424,,LCB Dinton Woods,,In Stock,Bordeaux,395.0,900.0,790.0,-110.0,-12.222222222222221,2024-05-10,-10.082959211484122
"Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan",1989,1,75cl,LB,DP,1,2000.0,2000.0,"£1,530.00","£1,453.50","£1,377.00","£1,300.50",,,22/D009832,,LCB Dinton Woods,,In Stock,Bordeaux,1530.0,2000.0,1530.0,-470.0,-23.5,2024-11-10,-30.969192846079164
"Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan",2010,1,300cl,,IB,1,1914.0,1914.0,"£2,100.00","£1,995.00","£1,890.00","£1,785.00",,,21/0012508,,LCB Dinton Woods,,In Stock,Bordeaux,2100.0,1914.0,2100.0,186.0,9.717868338557993,2022-05-02,2.8948614652556826
"Chateau L'Evangile, Pomerol",2018,1,300cl,,IB,1,648.0,648.0,£725.00,£688.75,£652.50,£616.25,,,22/0001233,,LCB Dinton Woods,,In Stock,Bordeaux,725.0,648.0,725.0,77.0,11.882716049382717,2023-04-12,4.991184094042889
"Chateau La Mission Haut-Brion, Blanc, Pessac-Leognan",2019,1,6x75cl,OWC,IB,2,2299.9998,4599.9996,"£2,100.00","£1,995.00","£1,890.00","£1,785.00",,,22/0019257,,LCB Dinton Woods,,In Stock,Bordeaux,2100.0,4599.9996,4200.0,-399.9996000000001,-8.695644234403849,2022-11-27,-3.3404192631436236
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2018,1,150cl,OWC,IB,1,1260.0,1260.0,"£1,350.00","£1,282.50","£1,215.00","£1,147.50",,,22/0019264,,LCB Dinton Woods,,In Stock,Bordeaux,1350.0,1260.0,1350.0,90.0,7.142857142857142,2022-03-29,2.0852978198291128
"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2010,1,75cl,OWC,IB,2,360.0,720.0,£500.00,£475.00,£450.00,£425.00,,,,,LCB Dinton Woods,,On PO,Bordeaux,500.0,720.0,1000.0,280.0,38.88888888888889,2024-05-21,31.596173863277755
"Chateau Lafleur, Pomerol",2004,1,300cl,,IB,1,1100.0,1100.0,"£1,500.00","£1,425.00","£1,350.00","£1,275.00",,,20/0037474,,LCB Dinton Woods,,In Stock,Bordeaux,1500.0,1100.0,1500.0,400.0,36.36363636363637,2022-05-11,10.094230943358951
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2000,1,75cl,LB,IB,1,350.0,350.0,£350.00,£332.50,£315.00,£297.50,,,22/0003417,,LCB Dinton Woods,,In Stock,Bordeaux,350.0,350.0,350.0,0.0,0.0,2024-02-09,0.0
"Chateau Pavie Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2010,1,75cl,LB,IB,1,275.0,275.0,£275.00,£261.25,£247.50,£233.75,,,22/0003417,,LCB Dinton Woods,,In Stock,Bordeaux,275.0,275.0,275.0,0.0,0.0,2022-12-10,0.0
"Vieux Chateau Certan, Pomerol",2018,1,3x75cl,OWC,IB,1,639.9999,639.9999,£600.00,£570.00,£540.00,£510.00,,,22/0026489,,LCB Dinton Woods,,In Stock,Bordeaux,600.0,639.9999,600.0,-39.999900000000025,-6.249985351560214,2024-03-16,-4.578292453765154
"Domaine Armand Rousseau, Chambertin Grand Cru  US Label",2016,1,75cl,LB,IB,1,1400.0,1400.0,"£2,000.00","£1,900.00","£1,800.00","£1,700.00",,,,,LCB Dinton Woods,,On PO,Burgundy,2000.0,1400.0,2000.0,600.0,42.857142857142854,2023-01-21,15.158998007422708
"Domaine Armand Rousseau, Chambertin Grand Cru",2015,1,6x75cl,,IB,1,19500.0,19500.0,"£16,500.00","£15,675.00","£14,850.00","£14,025.00",,,22/0000447,,LCB Dinton Woods,,In Stock,Burgundy,16500.0,19500.0,16500.0,-3000.0,-15.384615384615385,2024-08-13,-15.873728802313014
"Domaine Armand Rousseau, Chambertin Grand Cru",2016,1,75cl,,DP,1,2752.2318,2752.2318,"£2,000.00","£1,900.00","£1,800.00","£1,700.00",,,22/D007258,,LCB Dinton Woods,,In Stock,Burgundy,2000.0,2752.2318,2000.0,-752.2318,-27.331702220721382,2022-10-04,-10.684547015406165
"Domaine Armand Rousseau, Chambertin-Clos de Beze Grand Cru",2006,1,12x75cl,OCC,IB,1,30999.9996,30999.9996,"£33,000.00","£31,350.00","£29,700.00","£28,050.00",,,22/0011920,,LCB Dinton Woods,,In Stock,Burgundy,33000.0,30999.9996,33000.0,2000.0004000000008,6.451614276795025,2023-04-05,2.7262003970296877
"Domaine Armand Rousseau, Chambertin-Clos de Beze Grand Cru",2006,1,6x75cl,OCC,IB,2,13750.0002,27500.0004,"£16,500.00","£15,675.00","£14,850.00","£14,025.00",,,22/0034105,,LCB Dinton Woods,,In Stock,Burgundy,16500.0,27500.0004,33000.0,5499.999599999999,19.999998254545474,2022-01-22,5.310481613989149
"Domaine Armand Rousseau, Chambertin-Clos de Beze Grand Cru",2011,1,6x75cl,OCC,IB,1,13500.0,13500.0,"£11,500.00","£10,925.00","£10,350.00","£9,775.00",,,22/0015327,,LCB Dinton Woods,,In Stock,Burgundy,11500.0,13500.0,11500.0,-2000.0,-14.814814814814813,2022-09-10,-5.394959123835696
"Domaine Armand Rousseau, Chambertin-Clos de Beze Grand Cru",2013,1,6x75cl,OCC,IB,1,13249.9998,13249.9998,"£9,000.00","£8,550.00","£8,100.00","£7,650.00",,,22/0034106,,LCB Dinton Woods,,In Stock,Burgundy,9000.0,13249.9998,9000.0,-4249.9998,-32.07547067283729,2024-01-18,-22.261230175768944
"Domaine Armand Rousseau, Charmes-Chambertin Grand Cru",2013,1,6x75cl,OWC,IB,1,4099.9998,4099.9998,"£4,000.00","£3,800.00","£3,600.00","£3,400.00",,,23/0030185,,LCB Dinton Woods,,In Stock,Burgundy,4000.0,4099.9998,4000.0,-99.9997999999996,-2.43901963117168,2024-05-06,-1.9755696367089848
"Domaine Armand Rousseau, Gevrey-Chambertin Premier Cru, Clos Saint-Jacques",2007,1,6x75cl,OCC,IB,1,9000.0,9000.0,"£6,250.00","£5,937.50","£5,625.00","£5,312.50",,,22/0022751,,LCB Dinton Woods,,In Stock,Burgundy,6250.0,9000.0,6250.0,-2750.0,-30.555555555555557,2023-04-20,-14.759654067382023
"Domaine Armand Rousseau, Gevrey-Chambertin Premier Cru, Clos Saint-Jacques",2007,1,75cl,RP,DP,1,1175.0,1175.0,£950.00,£902.50,£855.00,£807.50,,,23/D014723,,LCB Dinton Woods,,In Stock,Burgundy,950.0,1175.0,950.0,-225.0,-19.148936170212767,2024-12-18,-29.073869675046982
"Domaine Armand Rousseau, Gevrey-Chambertin Premier Cru, Clos Saint-Jacques",2015,1,75cl,RP,IB,1,1600.0,1600.0,"£1,050.00",£997.50,£945.00,£892.50,,,23/0001821,,LCB Dinton Woods,,In Stock,Burgundy,1050.0,1600.0,1050.0,-550.0,-34.375,2023-05-26,-17.53467246437842
"Domaine Armand Rousseau, Gevrey-Chambertin Premier Cru, Lavaux Saint-Jacques",2016,1,6x75cl,OCC,IB,3,4500.0,13500.0,"£5,850.00","£5,557.50","£5,265.00","£4,972.50",,,22/0035482,,LCB Dinton Woods,,In Stock,Burgundy,5850.0,13500.0,17550.0,4050.0,30.0,2023-12-01,17.04097918609866
"Domaine Armand Rousseau, Gevrey-Chambertin Premier Cru, Lavaux Saint-Jacques",2016,1,12x75cl,OCC,IB,1,9000.0,9000.0,"£11,700.00","£11,115.00","£10,530.00","£9,945.00",,,22/0035480,,LCB Dinton Woods,,In Stock,Burgundy,11700.0,9000.0,11700.0,2700.0,30.0,2024-09-02,33.34551305688622
"Domaine de la Romanee-Conti, Corton Grand Cru, Prince Florent de Merode",2014,1,3x75cl,OWC,IB,2,7550.0,7500.0,"£5,700.00","£5,415.00","£5,130.00","£4,845.00",,,22/0024820,,LCB Dinton Woods,,In Stock,Burgundy,5700.0,15100.0,11400.0,-3700.0,-24.503311258278146,2022-07-09,-8.76641272427806
"Domaine de la Romanee-Conti, Corton Grand Cru, Prince Florent de Merode",2015,1,3x75cl,OWC,IB,1,8100.0,8100.0,"£6,100.00","£5,795.00","£5,490.00","£5,185.00",,,23/0001996,,LCB Dinton Woods,,In Stock,Burgundy,6100.0,8100.0,6100.0,-2000.0,-24.691358024691358,2024-08-15,-25.553390055027414
"Domaine de la Romanee-Conti, Corton Grand Cru, Prince Florent de Merode",2016,1,3x75cl,OWC,IB,1,8100.0,8100.0,"£6,000.00","£5,700.00","£5,400.00","£5,100.00",,,23/0001997,,LCB Dinton Woods,,In Stock,Burgundy,6000.0,8100.0,6000.0,-2100.0,-25.925925925925924,2023-11-18,-16.15723726528937
"Domaine de la Romanee-Conti, Corton Grand Cru, Prince Florent de Merode",2017,1,150cl,OWC,IB,1,5500.0,5500.0,"£5,000.00","£4,750.00","£4,500.00","£4,250.00",,,22/0011923,,LCB Dinton Woods,,In Stock,Burgundy,5000.0,5500.0,5000.0,-500.0,-9.090909090909092,2024-08-15,-9.44199579795032
"Domaine de la Romanee-Conti, Echezeaux Grand Cru",2004,1,3x75cl,OWC,IB,1,7749.9999,7749.9999,"£6,900.00","£6,555.00","£6,210.00","£5,865.00",,,22/0028980,,LCB Dinton Woods,,In Stock,Burgundy,6900.0,7749.9999,6900.0,-849.9998999999998,-10.967740786680524,2023-07-17,-5.529147174142556
"Domaine de la Romanee-Conti, Grands Echezeaux Grand Cru",2006,1,75cl,RP,IB,1,2700.0,2700.0,"£2,950.00","£2,802.50","£2,655.00","£2,507.50",,,22/0026523,,LCB Dinton Woods,,In Stock,Burgundy,2950.0,2700.0,2950.0,250.0,9.25925925925926,2024-04-11,7.01591727834332
"Domaine de la Romanee-Conti, La Tache Grand Cru",1979,1,600cl,LB,IB,1,42000.0,42000.0,"£44,000.00","£41,800.00","£39,600.00","£37,400.00",,,22/0009863,,LCB Dinton Woods,,In Stock,Burgundy,44000.0,42000.0,44000.0,2000.0,4.761904761904762,2023-10-09,2.599905050576612
"Domaine de la Romanee-Conti, La Tache Grand Cru",2006,1,75cl,RP,IB,2,4725.0,4500.0,"£4,000.00","£3,800.00","£3,600.00","£3,400.00",,,22/0038537,,LCB Dinton Woods,,In Stock,Burgundy,4000.0,9450.0,8000.0,-1450.0,-15.343915343915343,2022-01-21,-4.613840197757735
"Domaine de la Romanee-Conti, La Tache Grand Cru",2007,1,150cl,,IB,1,13100.0,13100.0,"£12,750.00","£12,112.50","£11,475.00","£10,837.50",,,22/0006280,,LCB Dinton Woods,,In Stock,Burgundy,12750.0,13100.0,12750.0,-350.0,-2.6717557251908395,2024-04-20,-2.0913514228374397
"Domaine Jean Grivot, Richebourg Grand Cru",2003,1,6x75cl,OCC,IB,1,4500.0,4500.0,"£6,000.00","£5,700.00","£5,400.00","£5,100.00",,,22/0026614,,LCB Dinton Woods,,In Stock,Burgundy,6000.0,4500.0,6000.0,1500.0,33.33333333333333,2022-06-16,9.637622449075867
"Domaine Jean Grivot, Richebourg Grand Cru",2016,1,75cl,,IB,1,1200.0,1200.0,"£1,100.00","£1,045.00",£990.00,£935.00,,,20/0012730,,LCB Dinton Woods,,In Stock,Burgundy,1100.0,1200.0,1100.0,-100.0,-8.333333333333332,2023-01-23,-3.3918379319645697
"Domaine Leroy, Clos de Vougeot Grand Cru",2001,1,3x75cl,OWC,IB,1,16400.0001,16400.0001,"£3,000.00","£2,850.00","£2,700.00","£2,550.00",,,22/0038141,,LCB Dinton Woods,,In Stock,Burgundy,3000.0,16400.0001,3000.0,-13400.000100000001,-81.70731718471148,2023-08-24,-58.369041028541325
"Domaine Leroy, Clos de Vougeot Grand Cru",2015,1,3x75cl,,IB,1,22250.0001,22250.0001,"£14,500.00","£13,775.00","£13,050.00","£12,325.00",,,22/0001527,,LCB Dinton Woods,,In Stock,Burgundy,14500.0,22250.0001,14500.0,-7750.000100000001,-34.831460967049615,2022-11-12,-14.572329486157642
"Screaming Eagle, Cabernet Sauvignon, Napa Valley",1997,1,75cl,,IB,1,4150.0,4150.0,"£4,950.00","£4,702.50","£4,455.00","£4,207.50",,,19/0027299,,LCB Dinton Woods,,In Stock,California,4950.0,4150.0,4950.0,800.0,19.27710843373494,2022-01-14,5.097564001778276
"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2003,1,3x75cl,,IB,1,7700.0001,7700.0001,"£9,000.00","£8,550.00","£8,100.00","£7,650.00",,,19/0018436,,LCB Dinton Woods,,In Stock,California,9000.0,7700.0001,9000.0,1299.9998999999998,16.883115365154346,2022-08-30,5.485421708253457
"Screaming Eagle, Cabernet Sauvignon, Napa Valley",2009,1,75cl,OWC,IB,1,2700.0,2700.0,"£2,950.00","£2,802.50","£2,655.00","£2,507.50",,,23/0001676,,LCB Dinton Woods,,In Stock,California,2950.0,2700.0,2950.0,250.0,9.25925925925926,2024-02-16,6.268341605671979
"Louis Roederer, Cristal Rose",1999,1,150cl,OWC,DP,1,900.0,900.0,950,£902.50,£855.00,£807.50,,,22/D014272,,LCB Dinton Woods,,In Stock,Champagne,950.0,900.0,950.0,50.0,5.555555555555555,2023-07-19,2.6898486543358135
"Louis Roederer, Cristal Rose",2007,1,3x75cl,OCC,IB,1,1110.0,1110.0,990,£940.50,£891.00,£841.50,,,22/0024967,,LCB Dinton Woods,,In Stock,Champagne,990.0,1110.0,990.0,-120.0,-10.81081081081081,2024-06-16,-9.667681881366153
"Pol Roger, Sir Winston Churchill",2018,1,6x75cl,OCC,IB,10,649.9998,,750,£750.00,£750.00,£750.00,,,,,LCB Dinton Woods,,On PO,Champagne,750.0,6499.9980000000005,7500.0,1000.0019999999995,15.38465088758488,2022-04-02,4.388359392847296
"Pol Roger, Sir Winston Churchill",2018,1,3x150cl,OCC,IB,2,750.0,,875,£875.00,£875.00,£875.00,,,,,LCB Dinton Woods,,On PO,Champagne,875.0,1500.0,1750.0,250.0,16.666666666666664,2024-08-13,17.292438119747324
